"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent"
"50","9MpwOI4gbAU","2014-05-23T03:02:42.000Z","UCwPzlQU2MqEQJWgqM_0VFKQ","Sex offender treatment center shocks Scotts Valley","Parents, city leaders, even the police department in Scotts Valley were shocked when they learned a counseling center for sex offenders was located across the street from Scotts Valley Middle School.","https://i.ytimg.com/vi/9MpwOI4gbAU/default.jpg","120","90","https://i.ytimg.com/vi/9MpwOI4gbAU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9MpwOI4gbAU/hqdefault.jpg","480","360","KSBW Action News 8","none"
"51","79HegTKOoG4","2014-12-02T03:22:10.000Z","UCldfgbzNILYZA4dmDt4Cd6A","Radio Host: Mike Brown Was Demon Possessed","On his radio program today, Bryan Fischer reacted to a grand jury's decision not to indict Ferguson, Missouri, police officer Darren Wilson in the shooting death of Michael Brown, seizing upon...","https://i.ytimg.com/vi/79HegTKOoG4/default.jpg","120","90","https://i.ytimg.com/vi/79HegTKOoG4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/79HegTKOoG4/hqdefault.jpg","480","360","Secular Talk","none"
"52","DUpoBmlJ-tc","2014-09-26T02:05:55.000Z","UCldfgbzNILYZA4dmDt4Cd6A","Missouri Cops Wear 'I Am Darren Wilson' Bracelets","On Tuesday morning, a memorial created to honor 18-year-old Michael Brown had been mysteriously set on fire and burned down. Police were suspected of having some involvement in the memorial's...","https://i.ytimg.com/vi/DUpoBmlJ-tc/default.jpg","120","90","https://i.ytimg.com/vi/DUpoBmlJ-tc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DUpoBmlJ-tc/hqdefault.jpg","480","360","Secular Talk","none"
"53","J6D-h7mTEWI","2014-11-26T03:53:42.000Z","UCldfgbzNILYZA4dmDt4Cd6A","Yes, Darren Wilson's Non-Indictment Was Rigged","The Missouri prosecutor overseeing an investigation into the fatal shooting of 18-year-old Michael Brown has deep family roots among police: his father, mother, brother, uncle and cousin all...","https://i.ytimg.com/vi/J6D-h7mTEWI/default.jpg","120","90","https://i.ytimg.com/vi/J6D-h7mTEWI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/J6D-h7mTEWI/hqdefault.jpg","480","360","Secular Talk","none"
"54","ulk_g5X8WwM","2014-08-21T00:35:06.000Z","UCldfgbzNILYZA4dmDt4Cd6A","The 'Mike Brown Law' Cracks Down On Police Abuse","A new petition on the Whitehouse.gov site has reached more than the necessary number of signatures to receive an official response from the government. The petition is calling for the creation...","https://i.ytimg.com/vi/ulk_g5X8WwM/default.jpg","120","90","https://i.ytimg.com/vi/ulk_g5X8WwM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ulk_g5X8WwM/hqdefault.jpg","480","360","Secular Talk","none"
"55","YODSkeYzxnk","2014-08-20T02:21:18.000Z","UCldfgbzNILYZA4dmDt4Cd6A","The Truth About Michael Brown & Marijuana","The St. Louis County medical examiner's report on the body of Michael Brown, the unarmed 18-year-old killed by police officer Darren Wilson in Ferguson, Missouri, on Aug. 9, found that Brown...","https://i.ytimg.com/vi/YODSkeYzxnk/default.jpg","120","90","https://i.ytimg.com/vi/YODSkeYzxnk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YODSkeYzxnk/hqdefault.jpg","480","360","Secular Talk","none"
"56","SiWSsa-0owg","2014-11-26T03:54:54.000Z","UCldfgbzNILYZA4dmDt4Cd6A","No Justice For Mike Brown","Read More At: http://news.yahoo.com/timeline-ferguson-missouri-police-shooting-investigation-033028808.html http://www.nytimes.com/2014/08/18/us/michael-brown-autopsy-shows-he-was-shot-at-least-6-...","https://i.ytimg.com/vi/SiWSsa-0owg/default.jpg","120","90","https://i.ytimg.com/vi/SiWSsa-0owg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SiWSsa-0owg/hqdefault.jpg","480","360","Secular Talk","none"
"57","LsW7Eis9KgA","2014-08-10T21:51:34.000Z","UCJmSX7ghommK3pwMLGNUvPA","Mother Of Dead Missouri Teen Wants Officer Jailed","The mother of an 18-year-old black man shot and killed in a St. Louis suburb says she doesn't understand why police didn't subdue her son with a club or Taser, and she says the policeman who...","https://i.ytimg.com/vi/LsW7Eis9KgA/default.jpg","120","90","https://i.ytimg.com/vi/LsW7Eis9KgA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/LsW7Eis9KgA/hqdefault.jpg","480","360","Wochit News","none"
"58","6x_fvMkpd8k","2014-12-16T14:26:38.000Z","UCJmSX7ghommK3pwMLGNUvPA","Search Intensifies for Gunman Who Killed 6","The manhunt for a Marine veteran suspected of killing his ex-wife and five of her relatives amid a child custody dispute has spread to two suburban Philadelphia counties. Some schools were...","https://i.ytimg.com/vi/6x_fvMkpd8k/default.jpg","120","90","https://i.ytimg.com/vi/6x_fvMkpd8k/mqdefault.jpg","320","180","https://i.ytimg.com/vi/6x_fvMkpd8k/hqdefault.jpg","480","360","Wochit News","none"
"59","cksiQUY3O44","2014-05-13T18:44:06.000Z","UCJg37BUKqOM93k_5U_aeNaA","Jasmine Carter UGA Bound","Jasmine Carter UGA Bound UGA got a steal in Carter. Jasmine is the type of player, usually commit to a school like Tennessee. Carter signed with the University of Georgia. Carter began her...","https://i.ytimg.com/vi/cksiQUY3O44/default.jpg","120","90","https://i.ytimg.com/vi/cksiQUY3O44/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cksiQUY3O44/hqdefault.jpg","480","360","Gymratinsider","none"
"60","zRBZdKNuHzU","2014-08-26T04:38:26.000Z","UCJmSX7ghommK3pwMLGNUvPA","Michael Brown's Family Says He Was A 'gentle Soul'","Michael Brown's relatives said goodbye Monday to the 18-year-old who was shot and killed by a police officer, remembering him as a ""gentle soul"" with a deep and growing faith in Christianity...","https://i.ytimg.com/vi/zRBZdKNuHzU/default.jpg","120","90","https://i.ytimg.com/vi/zRBZdKNuHzU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/zRBZdKNuHzU/hqdefault.jpg","480","360","Wochit News","none"
"61","4MPUiwroDhc","2014-11-19T16:35:13.000Z","UCtQVQp-4weglkE1svqJuddg","Musical Butterfly Shooting Stars Dancehall","Musical Butterfly new single Shooting Stars with a preview sample. Buy this Dancehall records from Musical Butterfly - Shooting Stars: Musical Butterfly at Amazon: http://www.amazon.de/s/field-ke...","https://i.ytimg.com/vi/4MPUiwroDhc/default.jpg","120","90","https://i.ytimg.com/vi/4MPUiwroDhc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4MPUiwroDhc/hqdefault.jpg","480","360","Feiyr","none"
"62","HWoh7oC7pV0","2014-08-19T21:28:32.000Z","UCJmSX7ghommK3pwMLGNUvPA","Ferguson Pledges Outreach Efforts After Shooting","Ferguson's leaders urged residents Tuesday to stay home after dark to ""allow peace to settle in"" and pledged several actions to reconnect with the predominantly black community in the St. Louis...","https://i.ytimg.com/vi/HWoh7oC7pV0/default.jpg","120","90","https://i.ytimg.com/vi/HWoh7oC7pV0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HWoh7oC7pV0/hqdefault.jpg","480","360","Wochit News","none"
