"","News_2016.publishedAt","News_2016.title"
"113","2016-07-08T14:15:32.000Z","Mark Zuckerberg Reacts To Police Shootings"
"114","2016-07-21T17:21:18.000Z","Black Therapist Shot By Police While Hands Were Up"
"115","2016-06-13T16:44:38.000Z","Orlando shooter Traveled to Saudi Arabia Twice"
"116","2016-07-15T23:54:59.000Z","Plainclothes Officers Kills Baltimore Man After He Fired Upon Them"
"117","2016-06-02T20:50:15.000Z","UCLA Shooter Had A Kill List"
"118","2016-06-14T18:13:46.000Z","Gunman Apparently Joked About 9/11 When He Was A Teenager"
"119","2016-09-29T02:32:13.000Z","Refugee Took Shooting Stance Before Police Shot Him"
"120","2016-06-13T12:31:31.000Z","Bodies have been removed after the worst mass shooting in US history"
"121","2016-11-04T17:24:05.000Z","Officer Wore Confederate Flag Shirt in Shooting of Unarmed Black Man"
"122","2016-07-25T16:14:40.000Z","At Least Two Killed and 17 Injured in Florida Teen Nightclub Shooting"
"123","2016-05-07T12:51:44.000Z","Washington Shooter Targeted All Victims But One At Random"
"124","2016-06-17T00:38:07.000Z","Gun Shop Owner Refused to Sell Orlando Shooter Body Armor"
"125","2016-09-28T18:26:34.000Z","Police Kill Man Who Took a Shooting Stance Near San Diego"
"126","2016-06-30T16:33:55.000Z","Chicago Gun shop raffles AR-15 rifle to benefit Orlando victims"
"127","2016-09-25T15:41:13.000Z","Washington Shooter 'Zombie-Like' During Arrest"
"128","2016-09-24T21:28:47.000Z","Manhunt For Gunman Who Killed 5 At Seattle Mall"
"129","2016-06-16T17:53:48.000Z","Orlando Medical Examiner Kept Killer's Body Separate From Victims"
"130","2016-07-25T12:47:50.000Z","2 Killed, 17 Injured At Florida Nightclub"
"131","2016-06-03T01:47:24.000Z","UCLA Gunman May Have Also Killed Minnesota Woman"
"132","2016-06-03T19:09:53.000Z","Another Victim of UCLA Shooter Found Dead in Minnesota"
"133","2016-06-18T11:07:37.000Z","Offensive Social Media Post Gets Florida Asst. State Attorney Suspended"
"134","2016-06-17T22:07:06.000Z","Residents of Orlando United in Wake of Tragedy"
"135","2016-11-22T19:00:44.000Z","Prosecutor Seeks Retrial for Former Officer Ray Tensing"
"136","2016-04-25T22:00:02.000Z","Charleston Shooters Friend Enters A Plea"
"137","2016-07-14T22:08:56.000Z","Philando Castile Informed Officer About Lisenced Gun"
"138","2016-05-25T21:48:08.000Z","Families of Victims Support Death Penalty for Dylann Roof"
"139","2016-09-22T13:01:11.000Z","National Guard Needed In Charlotte After Police Shooting"
"140","2016-06-17T22:13:57.000Z","Omar Mateen Bought Body Armor From Local Gunshop"
"141","2016-11-28T20:08:09.000Z","Dylann Roof to Represent Himself in Court"
"142","2016-09-29T18:07:19.000Z","More Details Emerge from Shooting of Alfred Olango"
