"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"1050",1050,1050,"Gorilla DETROIT",0,"Slammed Sedan Damn true asf","4/12/18"
"1051",1051,1051,"Chris Tracks",0,"Yuck Fou _ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå_","4/14/18"
"1052",1052,1052,"Damien K.",0,"Yuck Fou LOLLLLLLL","4/5/18"
"1053",1053,1053,"zipper eggnog",0,"fucking liberal","4/17/18"
"1054",1054,1054,"dono Taylor",0,"god don't give a fuck about these dirt napers! your stupid ass prayers ain't going to work","4/19/18"
"1055",1055,1055,"Bruze Melange",1,"jeriah, Are you well? You sound ill. Odd for a bot.","4/11/18"
"1056",1056,1056,"dono Taylor",0,"fuck your prayers. you moron!","4/19/18"
"1057",1057,1057,"Aaron Krebs",0,"Oh Trump's responsible for every shooting all democrat's say.. lol","4/22/18"
"1058",1058,1058,"M J",0,"Jak Gaming Trump is the reason for all this hate","4/22/18"
"1059",1059,1059,"Reggin Lover",0,"Because this wannabe white DIRTY SPIC wants to shoot up a school??? THIS IS NOT A WHITE PROBLEM, this is a HISPANIC!!! There is an agenda to demonize white males, using inbred spics as martyrs!","4/22/18"
"1060",1060,1060,"Aaron Krebs",1,"This is the cops job, quit whining about our president he had nothing to do with this your braindead sheep","4/13/18"
"1061",1061,1061,"Gabe Nguch v2",0,"What do u want him to do","4/12/18"
"1062",1062,1062,"Bruze Melange",0,"sander nielsen, I'll take living in this ""wrong"" country any day. Europe is full of helpless sheep getting rolled over by the muslim immigrant  flood. Good luck and help stop the rape of your women by the  mus-a-lum virus.","4/11/18"
"1063",1063,1063,"Ìâå_ÌâåÑÌâå_ANGÌâåÕ_|Ìâå_ÌâåÑÌâå_",0,"Chelsey'sClarity ahh just read, nah it doesnÌâå_ÌâåÑÌÄåöt matter lmao I was goofing off/bunch of bs no need to waste time, letÌâå_ÌâåÑÌÄåös look and move on.","4/22/18"
"1064",1064,1064,"Ìâå_ÌâåÑÌâå_ANGÌâåÕ_|Ìâå_ÌâåÑÌâå_",0,"Reggin Lover hide your kids, hide your wife and hide you ugly cousin cause their raping everybody out hereÌâå_ÌâåÑÌâå hahaha IÌâå_ÌâåÑÌÄåöll get better dude trust me someday you wonÌâå_ÌâåÑÌÄåöt have to worry","4/22/18"
"1065",1065,1065,"Ìâå_ÌâåÑÌâå_ANGÌâåÕ_|Ìâå_ÌâåÑÌâå_",0,"Chelsey'sClarity not sure man hahaha I forgot about this, what ever it was, maybe, anyways IÌâå_ÌâåÑÌÄåöm watching this video on leprechaun in the hood news you should check it out","4/22/18"
"1066",1066,1066,"Reggin Lover",0,"No BLAME SPICS masquerading as full blooded white males!!! These are not white men doing these shootings!! These are inbred spics!!! The hispanics are taking over this country in more way than one!!!","4/22/18"
"1067",1067,1067,"Chelsey'sClarity",0,"Ìâå_ÌâåÑÌâå_ANGÌâåÕ_|Ìâå_ÌâåÑÌâå_ Are you talking to me in all the comments cuz IÌâå_ÌâåÑÌÄåöm confused","4/21/18"
"1068",1068,1068,"EGGS WITH LEGS",0,"Enrique DÌâåÕ_az god is not real","4/22/18"
"1069",1069,1069,"Reggin Lover",0,"YOU STUPID FUCKING SPICS!!!! Ppl, these are not ""white boys"" THESE are spics pretending to be white!!!!!!!!","4/22/18"
"1070",1070,1070,"I'm In A Vegetative State Gaming",0,"Enrique DÌâåÕ_az yes, god bless them. And guys, we can pray for the victims and that something is done about gun violence.","4/21/18"
"1071",1071,1071,"dono Taylor",0,"Blood Rush retarded people believe that shit","4/19/18"
"1072",1072,1072,"AJ Gang",0,"Enrique DÌâåÕ_az amen _ÌâåªÌÄåöÌâå","4/16/18"
"1073",1073,1073,"Gorilla DETROIT",1,"William Flores no heÌâå_ÌâåÑÌÄåös should be in jail for life having is head cut off is to much plus he has mental issues is not his fault itÌâå_ÌâåÑÌÄåös his health","4/12/18"
"1074",1074,1074,"I am a normie",0,"Oh shit! Looks like we got another one..","4/1/18"
"1075",1075,1075,"Glaceon Girl",0,"That_1_ Guy kinda spooky that you know so much about guns...","4/22/18"
"1076",1076,1076,"Guadalupe Lopez",0,".","4/12/18"
"1077",1077,1077,"CapInfinite",0,"Synyster Bullett it is the FBI fault cz he's been reported but they thought it was an empty threat tht a 19 yr could do such thing. N it's the system fault too for being so flawed. I feel like background checks are only bout their parents or grandparents.","4/12/18"
"1078",1078,1078,"Synyster Bullett",0,"half half the people to blame are the ones who ignored his social media post and everything. Not the gun laws. Not the FBI. He passed the background check because of a flawed system no doubt. But it wasnÌâå_ÌâåÑÌÄåöt the laws themselves.","4/8/18"
"1079",1079,1079,"Winged turtles mobile",0,"That guy should have thought his fucking future","4/8/18"
"1080",1080,1080,"DatLittleTeapot",1,"shooterxd23 far more deaths happen with handguns due to the concealability","4/22/18"
"1081",1081,1081,"DatLittleTeapot",1,"John Gotter Competition pistols like the Glock 24","4/22/18"
"1082",1082,1082,"DatLittleTeapot",1,"Juleka Killashandra You're referencing mental health, not the guns, correct?","4/22/18"
"1083",1083,1083,"DatLittleTeapot",1,"Stephen2846 A made up term by media and politicians to scare people who don't know anything about guns.","4/22/18"
"1084",1084,1084,"Ethen Jones",1,"Automatic rifles aren't legal, if that's what you're talking about.","4/20/18"
"1085",1085,1085,"Balihollic !",1,"Finally someone tells the truth about Ìâå_ÌâåÑÌâåÒassault riflesÌâå_ÌâåÑÌâå","4/18/18"
"1086",1086,1086,"Smoke Kush daily",1,"Brenda Leal fuck that paying tax dollars to keep that piece of shit alive, he deserves the death penalty, they should bring back firing squads for pieces of shit like him. Give him the same chance he gave those poor kids, a bullet to the head.","4/16/18"
"1087",1087,1087,"Brenda Leal",0,"_ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâå¢_ÌâåªÌâåÉÌâå£_ÌâåªÌâåÉÌâåµ_ÌâåªÌâåÉÌÄåà_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/16/18"
"1088",1088,1088,"Brenda Leal",0,"Poor kids who died .he should go to jail 100 years","4/16/18"
"1089",1089,1089,"Smoke Kush daily",1,"shooterxd23 You are a naive young kid you have no say here at all.","4/14/18"
"1090",1090,1090,"Agent- 69 FIB",0,"Zac Rayyis holy fuck you are missinformed","4/11/18"
"1091",1091,1091,"Agent- 69 FIB",0,"Actually he made a threat to a school","4/11/18"
"1092",1092,1092,"Fallen Legend",0,"ThatÌâå_ÌâåÑÌÄåös not true, first of all, of America bans guns, image how much of pussies we would look like, second, banning guns wonÌâå_ÌâåÑÌÄåöt do anything people will still have them because if they are that insane they will get them, third, you need a foid card and the money to get the guns, so if you buy them illegally it will cost a lot more and getting the foid card takes around 3-7 months and on top of that, buying a long rifle gun, you need to buy it and than wait a day, a handgun on the other hand is 3 days. Another thing is that he shot up a school, heÌâå_ÌâåÑÌÄåös a dumbass, ok? ThereÌâå_ÌâåÑÌÄåös no way a 19 year old couldve gotten 3 grand for ammo and a gun from his parents he either stole money, the gun, or sold a lot of stuff and bought it. But if guns are banned, people will use other types of guns to kill, also if these kids can get their hands on bombs, how could they not get their hands on a little handgun if guns are banned","4/11/18"
"1093",1093,1093,"Bruze Melange",0,"zac rayyis, (bot?) The framers knew that technology would evolve and our current weapons are/as the muskets in the 1700's. You sound like a fool with candy that was passed out. Try to buy a firearm and see what you go through. Or if you have a clean record go to a Class 3 dealer and learn how buying a machine gun isn't easy and bring at least $10,000.","4/11/18"
"1094",1094,1094,"Panda 1",0,"Zac Rayyis yeah true let's go start slavery again since people in Africa are still doing it :)","4/6/18"
"1095",1095,1095,"KJV1611AV",1,"snowboardman420 
No, had to bring the vocab down to a level of understanding for snowflakes like you !","4/12/18"
"1096",1096,1096,"snowboardman420",0,"I love how your comment was edited. Let me guess... to add more (!)","4/12/18"
"1097",1097,1097,"Eric Borlagdatan",0,"KJV1611AV Amen to that!","4/11/18"
"1098",1098,1098,"Bruze Melange",0,"xuregar, I'm gettin' a vaseline machine gun on payday. lol","4/11/18"
"1099",1099,1099,"Billy Bob",0,"Off course don Lemmon head once he comes on u know itÌâå_ÌâåÑÌÄåös bull he has worst ratings in the country","4/10/18"
"1100",1100,1100,"this is brak's pu don't touch it",0,"Our government can put people on a no-fly list but they can't put people on a don't buy list there's something wrong when you're not allowed to get on an airplane but you're allowed to go to any gun store any gun show and buy a gun.","4/6/18"
"1101",1101,1101,"InboundVideos",0,"Ulquara yeah and someone with a car can have an outburst of anger and kill people but that doesn't matter now does it","4/8/18"
"1102",1102,1102,"Pandaboy",0,"actually rifles and pistols cant kill, only bullets can.","4/7/18"
"1103",1103,1103,"zero g templar",0,"NC Steamfan you could be killed with a knife or a bomb,  a person intent on killing is not going to distress themselfs over they  method they use. china has had outnumbers mass knife killings  https://www.cnn.com/2014/03/01/world/asia/china-railway-attack/index.html
look it up a Knife wielding attacker killed 29 and injured 130.....","4/5/18"
"1104",1104,1104,"zero g templar",0,"Ulquara :Mentally health people do not kill, so weather they could or not is irrelevant, the fact is their are more then 90 million citizens in the US who have guns and do not kill. Switzerland used to be a place with the highest gun to individual ratio and one of the lowest murder rates in the world! suggesting that an intense emotion could cause a person to kill with a gun is just plain ignorant, people have access to knives pretty much all some three hundred + million people in the US have access to knives so why haven't their been mass knife killings?","4/5/18"
"1105",1105,1105,"shooterxd23",0,"#NAME?","4/4/18"
"1106",1106,1106,"TheMaskedGamer",0,"dustin Finally a smart person","4/6/18"
"1107",1107,1107,"TheFoxDiamond",0,"Beast 34500 Go get school","4/6/18"
"1108",1108,1108,"Swerve God",0,"Monkey Boi21 my school is hood and we got metal detector","4/22/18"
"1109",1109,1109,"Lorenzo Arias",0,"Monkey Boi21 ikr","4/21/18"
"1110",1110,1110,"Yes, we Koreans hate black niggers",0,"these white schools need to bring them metal detectors from nigger schools","4/19/18"
"1111",1111,1111,"ÌâåÕÌÄå_Twins",0,"Are school actually has one now with a security guard....no joke","4/16/18"
"1112",1112,1112,"MrMouse",0,"yup and guess what, no shootings there ! so stop complaining fuckers","4/7/18"
"1113",1113,1113,"JohnÌâå_ÌâåÑÌÄåös tanks and more.",0,"Bruh chan exactly","4/4/18"
"1114",1114,1114,"Plymco Pilgrim",0,"slaiyfershin I didnÌâå_ÌâåÑÌÄåöt call your original post dumb, I stated that saying a hard drive is similar in price to a gun is not a valid comparison so you would need to come up with a better one to make that argument.   

The other guy used a specific thought process to call others dumb but did the very thing he was calling dumb, therefore he was calling himself dumb.  

You insult my intelligence yet you could not comprehend what I wrote.  Your comparison ability and reading comprehension are lacking.","4/11/18"
"1115",1115,1115,"slaiyfershin",0,"You called OP dumb. You called out a fake argument never made by Beater. Not me. And my argument was valid. You are too dumb to continue arguing with apparently.","4/11/18"
"1116",1116,1116,"Plymco Pilgrim",0,"slaiyfershin I never insulted you. I called out a poor argument that you made and told you that you need a better argument to prove your point.   You still need a better argument.  Also stop projecting your own behavior onto me with your suicide bomber straw man argument.","4/11/18"
"1117",1117,1117,"slaiyfershin",0,"Plymco Pilgrim since you decided to insult me too. Your argument is even more stupid. Bombs have to be made, cannot be immediately detonated unless you're a suicide bomber, and most importantly, NOT SOLD FOR ANY DUMB IDIOT like yourself to buy in stores. Beater never said it was a bad comparison. Nice try with the straw man. Or you truly are dumber than the people you claim are dumb.","4/11/18"
"1118",1118,1118,"Plymco Pilgrim",0,"Beater you admit it is a bad comparison then stated that pointing that out is dumb.  By that logic you are dumb......you need to do better too, just like the original poster.","4/11/18"
"1119",1119,1119,"J R",0,"kevan thats so fucking sick. i have never heard any country having metal detectors and armed police/guards other than america lol. Dont you guys ever think that your country has so many problems","4/6/18"
"1120",1120,1120,"A Account",0,"Synyster Bullett you my sir are correct itÌâå_ÌâåÑÌÄåös stands for Armalite rifle","4/9/18"
"1121",1121,1121,"Synyster Bullett",0,"Ziggymackenzie AR stands for ARMALITE RIFLE. Do YOUR research.","4/8/18"
"1122",1122,1122,"Auty Merkley",0,"Skaggles the Squirrel thank you, this black guy has no clue what he is sating","4/8/18"
"1123",1123,1123,"A Account",0,"Yes","4/8/18"
"1124",1124,1124,"Malachi McCoy",0,"Henrik SwanstrÌâåÕ_m there is no such thing as an ""Assault"" gun!!!
It's all about how the weapon is used _ÌâåªÌâå¥ÌÄåâ_ÌâåªÌâåÔÌâåª_ÌâåªÌâå¥ÌÄåâ_ÌâåªÌâåÔÌâåª_ÌâåªÌâå¥ÌÄåâ_ÌâåªÌâåÔÌâåª","4/7/18"
"1125",1125,1125,"Enemalie Attah",0,"AFRO KELBO Iii","4/4/18"
"1126",1126,1126,"imdontai im coming for them cheek's",0,"AMERICAN VIKING nigga nobody doing that that some shit stupid niggas do","4/4/18"
"1127",1127,1127,"RUSTYNAIL 988",0,"Very disturbing","4/4/18"
"1128",1128,1128,"Reggin Lover",0,"THE SPICS are pretending to be white, and are running around shooting schools up! THESE ARE NOT WHITE MEN!!!!! THESE ARE DIRTY SPICS! Our country has a HISPANIC takeover crisis, AND OFCOURSE, somehow the media manages to make it the white man's issue","4/22/18"
"1129",1129,1129,"YourWife'sBoyfriend",0,"Cardinal Tester8 why is it that you white faggots feel so saying racist stuff when you canÌâå_ÌâåÑÌÄåöt get caught but are too pussy to say anything in real life in front of minorities.","4/11/18"
"1130",1130,1130,"The Imaginary Gallery",0,"It is obviously fake. Plus he was not seen with a gun nor is there any proof. If there is no proof=it didn't happen. It is all just another psy-op designed to terrify & terrorize the people in order to more easily control him. Plus, the 'terrifying' or 'disturbing' image of Cruz with a gun is a joke. The red thing on the tip gives it away that it is not a real gun. ""If you see something say something obviously is useless.","4/13/18"
"1131",1131,1131,"Sherry Malo",0,"Red Milk so get rid of guns for common public, so only criminals will have them, great idea! NOT!
As well, what about bombs, they're easy to make and what you need is readily available and legal. Taking guns is not the answer!","4/16/18"
"1132",1132,1132,"Sherry Malo",0,"Jaden Williams do you know all fkn guns except shotguns are semi auto. So in essence you're saying ban all guns except shotguns. Now that's the dumbest statement I've ever heard! Do some research and learn about guns before you open your mouth and look stupid like you just did!","4/16/18"
"1133",1133,1133,"Bruze Melange",0,"anaiahs parents, Sounds like you had a large bowl of ""dumb ass"" for breakfast.","4/11/18"
"1134",1134,1134,"Reggin Lover",0,"WHEN WILL real AMERICANS realize that these are not WHITE MEN shooting these schools up??? THESE ARE INBRED SPICS, masquerading as white males!!!!","4/22/18"
"1135",1135,1135,"Larry Williams",0,"Beto G yeah big difference between dumb kids getting drunk and smart kids wanting to save lives instead of getting into car accidents lmaooo","4/3/18"
"1136",1136,1136,"Squidle",0,"October Rain35 Yes, they should accualy do something about mentally unstable people like me","4/12/18"
"1137",1137,1137,"DyingSanity FH",0,"Why do I have a strong feeling this school is going to be haunted","4/22/18"
"1138",1138,1138,"Charma And Matilda",0,"I feel so bad for watching this, i am almost crying :(","4/20/18"
"1139",1139,1139,"Gromitdog1",0,"Jews","4/20/18"
"1140",1140,1140,"Nevaeh Anderson",0,"I texted my best friend after this and told her how much I love her","4/20/18"
"1141",1141,1141,"nene boo",1,"I watched a different video of the same School Shooting, and the hirl mentioned Samantha's Name and then said this girl Elena got shot. So Samantha and Elena was her Friend........... I feel so sorry for Samantha...........","4/20/18"
"1142",1142,1142,"Stency Sajan",0,"When she said her best friend didnÌâå_ÌâåÑÌÄåöt make it I lost it and broke down in tears_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/19/18"
"1143",1143,1143,"AundrayaYouDumb",0,"i started crying as soon as she was asked about her friend","4/19/18"
"1144",1144,1144,"PAN-DULCE",0,"lies","4/19/18"
"1145",1145,1145,"Gabby Beam",0,"Shes so brave. Everyone at Marjory Stoneman Douglas is brave. i dont know what id do without my bestfriend. And i wish endlessly that i could make school shootings disappear. (i know this comment is late but im doing a speech on school safety form my debate class and i am sadly just now realizing how horrific this is)","4/19/18"
"1146",1146,1146,"R O S E",0,"I almost cried when she said her best friend past away and she tried to hold back her tears","4/18/18"
"1147",1147,1147,"BM",0,"Shooter was bullied","4/18/18"
"1148",1148,1148,"BM",0,"Ain't she prurrity little thing","4/18/18"
"1149",1149,1149,"Too Wheels",1,"I mean it sucks but I'm not sugar coating death plays a part of life which EVERYONE should know u can't even control how your death will turn out unless suicide but im still sorry about what happened #freeNICK","4/18/18"
"1150",1150,1150,"Too Wheels",1,"Bra y'all school shooters are helping Trump taking the 2nd amendment away so that away he can say oh yeah well take the guns away bc of skool shooting so that away he can start martial law and we wouldn't even have guns to defend ourselves","4/17/18"
"1151",1151,1151,"jugger nogger",0,"I know right","4/17/18"
"1152",1152,1152,"Dusty Emo",0,"Rest in peace to all the victims. Sending love to the families of the victims, the students staff and anyone else effected by this event.","4/17/18"
"1153",1153,1153,"Kaden Kullberg",0,"Just imagine someone shoots through your door and you look to your side and your friend is dead...feels","4/16/18"
"1154",1154,1154,"huguito silva",0,"i live in fl. I canÌâå_ÌâåÑÌÄåöt believe senator Rubio is not taking action on gun support! these students are braver than him and fight for innocent lives. Rubio wants to receive money from NRA. I really donÌâå_ÌâåÑÌÄåöt like him. The fact that these 17 students that were innocent and that had to go through this! I am definitely not feeling safe in school and I should not be worried about this! #WECALLBS","4/16/18"
"1155",1155,1155,"Unicorn Gamer",0,"Ìâå_ÌâåÑÌâåÒR u okÌâå_ÌâåÑÌâå No sheÌâå_ÌâåÑÌÄåös not she was in a school shooting and she lost her best friend really r u REALLY got me to ask that _ÌâåªÌâåÉÌâå_ÌâåªÌâåÉÌâå_ÌâåªÌâåÉÌâå","4/15/18"
"1156",1156,1156,"Jocelyn Rosales",0,"I feel so bad we are all praying for you and everybody else how was there","4/15/18"
"1157",1157,1157,"Tania Ejorango",0,"Poor friends....","4/15/18"
"1158",1158,1158,"Emily Gustin",0,"Poor kidsÌâå_Ìâå_Ìâå«ÌÄåªÌâå","4/15/18"
"1159",1159,1159,"Fun Love",0,"*YOUR FRIEND HAD RO LIVE SHE saved YOUR LIFE!!! IM ANGRYYYY!*





*rip to all*","4/15/18"
"1160",1160,1160,"Joseph Barclay Ross",0,"Learn the truth about these fake gun-grabbing shootings and the phony crisis actors and media shills who participate in them for money, like this girl above. Google: ""Fetzer Florida Shooting"" for a start.","4/14/18"
"1161",1161,1161,"Magdalena Karaim",0,"this made me cry","4/13/18"
"1162",1162,1162,"Shahid Gurung",0,"I think being in the 4 floor or if your school big 5 floors is better because it take longer to come up and the cop can get them","4/13/18"
"1163",1163,1163,"Shahid Gurung",0,"I would cry for a weak or three if my best best best best favorite friend died","4/13/18"
"1164",1164,1164,"Caroline Buck",0,"Her best friend's name was Helena Ramsay.","4/12/18"
"1165",1165,1165,"Kamile Kamilyte",0,"I am CRYING 
Crying 
I'm sad
Very sad
One like one prayer for her and her freindÌâå_Ìâå_","4/12/18"
"1166",1166,1166,"d M",0,"_ÌâåªÌâåÉÌâåomg the police don't need bullet proof vest or shields they can just carry around tiny books and all is well we can save the world one tiny book @ a time_ÌâåªÌâåÉ__Ìâåª_ÌâåÓ_Ìâåª___ÌâåªÌâåÉÌâåÊ I wonder why no one every market this it could make millions of dollars in fact take it on shark tank_ÌâåªÌâåÉÌâå","4/12/18"
"1167",1167,1167,"Taylor Airington",0,"God bless you sweet girl. And everyone there. Prayers. You all reacted so incredible. So brave.","4/12/18"
"1168",1168,1168,"shilynn smallen",0,"Omg these poor people I'm so sorry for the 17 killed fly high beautiful angles_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉÌÄå¦_ÌâåªÌâåÉÌÄå¦_ÌâåªÌâåÉÌÄå¦","4/12/18"
"1169",1169,1169,"LittleRock",0,"Dylaan roof should not have killed those innocent people either ..Our creator is mysterious","4/11/18"
"1170",1170,1170,"Drawing ToriWolf",0,"_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/11/18"
"1171",1171,1171,"Jacob Longer",0,"People believe that she was just shot in the chest with a rifle! A through and through gun shot wound to the chest.Then she goes back to the school for a interview , the police are still in the back ground! The bullet hit no bone lol!","4/11/18"
"1172",1172,1172,"LolotheLoveButt",0,"CRYING!!!! :[","4/10/18"
"1173",1173,1173,"Hyo Lee",0,"I would die for all the 17 people that were killed. Ìâå_Ìâå_Ìâå«ÌÄåªÌâå","4/10/18"
"1174",1174,1174,"Electric GamingFTW",0,"Man this is tough, some people donÌâå_ÌâåÑÌÄåöt really understand how damaging it can be when someone your close to stops existing, it is a horrible feeling like one of your limbs got cut off, just so hard to live everyday and continue without a missing loved one","4/10/18"
"1175",1175,1175,"Nabi Sonyeo",0,"poor baby :(","4/9/18"
"1176",1176,1176,"Scarlett Latta",0,"America and England have the highest and most protective security yet they have the most gun attacks there should be more security at schools to prevent this_ÌâåªÌâåÉÌâåÇ","4/9/18"
"1177",1177,1177,"Mark Fox",1,"She going the the oscars hope not","4/9/18"
"1178",1178,1178,"Mario Mendoza",1,"Somebody please give this girl an academy award","4/9/18"
"1179",1179,1179,"Nobody",0,"Theres more school shootings than compliments","4/9/18"
"1180",1180,1180,"Anika Sar",0,"I was so sad when she said her friend didn't make it","4/8/18"
"1181",1181,1181,"Anika Sar",0,"I feel so bad I'm crying :( those poor kids that were innocent and had no reasons to be shot","4/8/18"
"1182",1182,1182,"athena White",0,"Rip to all of the 17 people who down _ÌâåªÌâåÉ__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå__ÌâåªÌÄåöÌâå_ÌâåªÌâåÌâå_","4/8/18"
"1183",1183,1183,"Emoney The King",1,"She cute","4/7/18"
"1184",1184,1184,"Lisa :3",0,"My friend was next to the school in the middle school they were on lockdown too","4/7/18"
"1185",1185,1185,"yukari bunny goto unicorn",0,"Omg pray to god who was shooting inocent kids he will go to hell_ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/7/18"
"1186",1186,1186,"Sakila Horton",0,"So sad","4/6/18"
"1187",1187,1187,"hook",0,"Guns destroy your mind and your spirit. They can turn you into a murder. Get rid of your gun before is to late.","4/6/18"
"1188",1188,1188,"Kitty Cookie",0,"Never Again.","4/5/18"
"1189",1189,1189,"Marissa Cantu Beauty Channel",0,"Aww that is so sad I feel really bad for her _ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/5/18"
"1190",1190,1190,"NJ videos",3,"The Book deterred the bullets wow Florida schools are doing a great job raising criss actors ! No tears but she is really concerned for the ""victims"" ?","4/4/18"
"1191",1191,1191,"indi13lli",2,"This girl is a terrible actor.  Stop lying to the people.","4/4/18"
"1192",1192,1192,"Mia KANTS",0,"Why are school doors not locked anymore!!!","4/4/18"
"1193",1193,1193,"Hero ALOM",0,"this  was d first time I cried after watching a video","4/4/18"
"1194",1194,1194,"LPS HAMSTERTUBE",0,"i feel so bad for those who lost their loves ones_ÌâåªÌâåÉÌâå¢_ÌâåªÌÄå»ÌâåÓ_ÌâåªÌÄå»ÌâåÇ","4/4/18"
"1195",1195,1195,"Malachi Rogers",0,"Are they ok","4/4/18"
"1196",1196,1196,"The Godfather",6,"musta been some book.","4/3/18"
"1197",1197,1197,"Julian Mccormick",0,"Rip helena","4/3/18"
"1198",1198,1198,"lissaa aaa",0,"The look on the news reporter that was on the lefts face. A look of sheer horror. No one should ever deserve to be put in that situation. Especially not a child.","4/3/18"
"1199",1199,1199,"scott burns",0,"Bring on the paid youtube viewers. You can tell by their comments","4/2/18"
"1200",1200,1200,"Jesse Davis",0,"if he was black he would of got shot","4/2/18"
"1201",1201,1201,"scott burns",2,"Looks good for being shot.  Nice fake tears too","4/2/18"
"1202",1202,1202,"hook",0,"Humanity have suffered enough because of guns around the world.  Its time to stop the wars, the crime, the murders, and the division.  Say no to all guns and stand fro peace.","4/2/18"
"1203",1203,1203,"Donald Sauve",2,"Fake as sandy hoax....","4/2/18"
"1204",1204,1204,"Rayland Cox",1,"Bahha","4/1/18"
"1205",1205,1205,"Chicken Tender boi",0,"I felt so bad for this poor girl that is so incredibly sad and awkward that on top of her friend passing she had to be reminded again and you could tell the news people realized that because there was a long silence","4/1/18"
"1206",1206,1206,"Crystal Duskwolf",0,"and I thought being partially deaf was bad","4/1/18"
"1207",1207,1207,"Merrelltwinsfan 1",0,"I feel so bad for the students there. Who would be crazy and stupid enough to do something like that's just dumb and stupid,  I don't know how to explain my feelings right now.","4/1/18"
"1208",1208,1208,"TheTruthIsRacist",0,"Have another Tide Pod and you'll feel better.","4/13/18"
"1209",1209,1209,"Joseph Barclay Ross",0,"Very true d M. America has been dumb downed and scared by its own government (under the domination of the Rothschilds/Soros/New World Order Cabal, since the Rothschilds print our money without an audit and use it to bribe, and blackmail our leaders to do their will) into being blindly subservient to their sheep culling ways. 911 caused a lot of people to wake up, and a lot of others to cling to their sheephood. But it is changing. More and more people are waking up every day, even as the New World order tries harder to gull them into stupid acceptance of their crimes. I recommend everyone view ""Sandy Hook Crisis Actors Robbie Parker"" and ""Sandy Hook Crisis Actors David Wheeler"" for a start. Also anything by Jim Fetzer and Ole Damegaard on the subject. ""Jim Fetzer Florida Shooting"" is good. Then research all the fake shootings as you have the time. They all stink to high heaven of a conspiracy to disarm America by subterfuge. We must stand up against the fascist overthrow of our country.","4/14/18"
"1210",1210,1210,"d M",0,"Joseph Barclay Ross ._ÌâåªÌÄåöÌâåÊ_Ìâåª__the girl who cried wolf.
with your book and my book if  we make them the right size we could save lives. can you imagine if the kids at Columbine knew the info but it wasnt thought of till the young lady thought of this BRILLIANT I say BRILLIANT idea do gangs know this secret how to save your life in a drive by hold up a book a tiny one to be specific and you'll only get grazed by bullets but you'll be alive to tell there story. does the book do any other tricks? or is it a one hit wonder","4/13/18"
"1211",1211,1211,"d M",0,"Joseph Barclay Ross it's so so sad to know there real is a sucker born EVERY 5  MINUTE it's pathetic people are truly gullible","4/13/18"
"1212",1212,1212,"d M",0,"Joseph Barclay Ross _Ìâåª_ÌâåÓ_ÌâåªÌâåÉÌâå_Ìâåª___ÌâåªÌÄåöÌâåÊ_Ìâåª_ÌÄåÊok so her friend that died gave her the idea to get the tiny book but she died why wouldn't she pickup a microscopic book it would have SAVED HER LIFE? I'm just saying_Ìâåª___Ìâåª_ÌÄåÊ_ÌâåªÌâåÉÌâåÊ_ÌâåªÌâåÉ_","4/13/18"
"1213",1213,1213,"Joseph Barclay Ross",0,"I think the tiny book was titled: ""PINOCCHIO.""","4/13/18"
"1214",1214,1214,"Joseph Barclay Ross",0,"How about living for your country instead?  Google:  https://www.youtube.com/watch?v=tiRkt1g8jiM    or, if this Youtube Video has been taken down, then:    
https://153news.net/watch_video.php?v=R5XUU1SKHAWX  if you would like to know the truth that will enable you to help keep our whole country from being lied to and exploited and turned into a police state where we have no guns like Nazi Germany and Soviet Russia before they were taken over.","4/10/18"
