"","X.1","X","all_comments.authorDisplayName","all_comments.likeCount","all_comments.textOriginal","all_comments.publishedAt"
"685",685,685,"Idk memes",0,"he got builled. so he think ""thats it""","4/10/18"
"686",686,686,"MonkeyNation",0,"RheyaRu!z  ikr","4/19/18"
"687",687,687,"RheyaRu!z",0,"funny cuz America has no damn gun control","4/19/18"
"688",688,688,"Rick Grimes",0,"jason walters _ÌâåªÌâåÉÌÄå_","4/4/18"
"689",689,689,"aj",0,"Sharif Brown He openly fired at random students and teachers. That's hardly him targeting people who bullied him. Also he was said to be a complete dick to everyone. For you to ask if they deserve it makes you no better. At the end of the day he murdered people. Doesn't matter if they bullied him or not. That doesn't give him free range to kill a bunch of 16 year olds over petty shit.","4/18/18"
"690",690,690,"MayDay88 JoJo",0,"Seriously? That piece of shit wasnt bullied or anything. He was a nutjob. He has a history of violence...way before this shooting ever happened. If anyone was a bully it was him. If you were anything but white he wouldnt hesitate to yell all kinds of racial slurs towards you,hebwould even spit in ur face,so if anybody did attack him he was the one that deserved having his ass kicked,He was booted for fighting.  He had assaulted a couple diff. Girls that did try to befriend him. He was the bully and hes a damn nutjob. Hope he dies and goes to hell and is forced to suck satans dick for eternity","4/17/18"
"691",691,691,"ElH0mbreRico",0,"Yes, obviously","4/13/18"
"692",692,692,"Creppy",0,"I'm scared to click ""view replies""","4/12/18"
"693",693,693,"Namyen TV",0,"Sharif Brown lol ok. He shot and killed 17 people I am sure they all bullied him and taunted him yeyeye seems right","4/6/18"
"694",694,694,"MayDay88 JoJo",0,"But He wasnt bullied?","4/17/18"
"695",695,695,"Manga Girl YT",1,"No, no, its okay! Your actually right on that! No need to be sorry!","4/17/18"
"696",696,696,"Green Guy",0,"Sure as hell doesn't justify what this psychopath did","4/14/18"
"697",697,697,"Walamonga 1313",0,"augusto acosta nosetti Having guns being illegal doesn't prevent criminals from getting them or using them.","4/13/18"
"698",698,698,"Kendrick Manes",0,"Doesn't matter I went through bullying and people calling me weird (Which I wasn't) but I'm here living life I'm good why couldn't he been this guy had some fucked up problems throughout his life god knows wtf happened and why all of this happened but Rest in Peace to the ones that lost their lives.","4/10/18"
"699",699,699,"Lexus Keepin it REAL",0,"Hannah the cat loves Bendy ...wha???","4/13/18"
"700",700,700,"Creppy",0,"Hannah the cat loves Bendy What the fuck is wrong with you, you idiot?! Why should anyone give a fuck about your opinion, you insecure son of a bitch?! Why are you even commenting? Don't be a dick, you dick.","4/12/18"
"701",701,701,"Hannah the cat loves Bendy",1,"Uriel Sanchez WHO CARE ABOUT UR OPINION WHAT WOULD U DO IF U GOT SHOT, IF UR FRIENDS GOT SHOT, OR IF UR FAMILT GOT SHOT! woops i thought he said that opinion duck :v","4/8/18"
"702",702,702,"FutureGawd",0,"Idk memes lol","4/1/18"
"703",703,703,"pump gang",0,"*ban fire alarms*","4/11/18"
"704",704,704,"the legend",0,"MoralSingularity Your mistake is that you think the USA is the real world. But here in Canada, we dont have transparent-bags at our schools, we dont have metal detectors in our schools, we dont have police officers at our schools, we dont have security guards at our schools, we dont have armed teachers at our schools, but most importantly.. *we dont have school shootings in our schools.* Why? Because we have proper gun laws.","4/7/18"
"705",705,705,"FalkenThunder",1,"MoralSingularity apparentely the fantasy land is real in sweden","4/6/18"
"706",706,706,"MoralSingularity",1,"bullshit, welcome to the real world. keep living in fantasyland and see what it gets you.","4/6/18"
"707",707,707,"FalkenThunder",0,"MoralSingularity if you need to have multiple guards at your school there is a gun problem","4/6/18"
"708",708,708,"MoralSingularity",2,"idiot, they didnt have secured doors, metal detectors, and security at those doors. just some guy wandering. and no, scumbag, you are a fucking moron. what is your answer, genius, ban guns? i bet you are that stupid.","4/6/18"
"709",709,709,"Real Gamer",0,"If one of my friend was shot, i will go crazy and kill myself","4/6/18"
"710",710,710,"Zersix",1,"_ÌâåªÌâåÉ__ÌâåªÌâåÉÌâå¢","4/4/18"
"711",711,711,"keya' s channel",1,"_ÌâåªÌâåÉ__ÌâåªÌâåÉÌâå¢","4/4/18"
"712",712,712,"MAH FACE",0,"Emilia Parris Ikr","4/2/18"
"713",713,713,"Zersix",1,"cuz we would be laughing had we seen our classmates shot dead, lmaooo","4/2/18"
"714",714,714,"aVisionary",0,"wtf","4/3/18"
"715",715,715,"Candace Fortner",0,"GraceDat Vlogger ikr Orlando shooting happened there that was big parkland shooting which is this was big Christian Grimmie got shot there which was big Jesus rip to all those innocent people that died","4/4/18"
"716",716,716,"Aidan Smith",1,"there are idiots are over the earth and i don't mean the students i mean the shooters","4/4/18"
"717",717,717,"Slam Daddy McNasty",1,"your name is accurate","4/4/18"
"718",718,718,"ChiefCom",1,"Youtube ForLife amen","4/7/18"
"719",719,719,"katie posh",1,"us too! only he wasn't even suspended! just arrested for a single day. he had a fucking list of people to kill and everything! i dont feel safe at all and i dont know how to get the word out","4/5/18"
"720",720,720,"Last Call",0,"pussy","4/5/18"
"721",721,721,"Edwin Solis",0,"ChiefCom GOOD LUCK","4/5/18"
"722",722,722,"Nathan M.",0,"Lol Lol You dumb fuck, a polkce officer just saved 1,000 lives at a school","4/4/18"
"723",723,723,"Ambatron Davis",0,"Um, I did click on three of them, and they were about Canada? WTF hahahaha, NOT NZ bro. NZ is in the southern hemisphere, across the ditch from the Aussies, its 2 islands, one is the North Island and one is the South Island. I live in the North island, Hawke's Bay. You have the wrong country mate, go back to school, and lets hope you don't get killed by guns... the one topic I was talking about. Not all the noise you keep throwing at me.","4/1/18"
"724",724,724,"Ambatron Davis",0,"By the way, feel free to stop now. I am done with your crazy ass.","4/1/18"
"725",725,725,"Ambatron Davis",0,"What do you mean which I am lying about? Like I am lying that I come from New Zealand? haha, that is a bit mental. and I cant think why I would? is new Zealand that great that one would lie about coming from there? Honestly, I don't care about any of those links.. NOT going to click on any of them. I don't care for anything you have to say, I honestly don't know why you have such a problem? I assume you are American, and I offended you delicate sensitivities about guns... which is dumb. Harden up bro. FFS. if is NZ vs USA, good luck mate.","4/1/18"
"726",726,726,"malachi Mckelvey",0,"When i meant that sucks i meant Sorry for your loss but i can take jokes. Sorry If I insulted You directly.","4/20/18"
"727",727,727,"Savage Slitter",0,"Aesthetic Cell did i say i was cool?","4/2/18"
"728",728,728,"T. Jordan",0,"Heaven doesn't exist","4/16/18"
"729",729,729,"Thicc Dogo123",0,"sathya skywalker go die","4/15/18"
"730",730,730,"Thicc Dogo123",0,"eric wright ur an evil person u probably are 60 and committed many crimes","4/15/18"
"731",731,731,"Thicc Dogo123",0,"Sunlight go die","4/15/18"
"732",732,732,"Thicc Dogo123",0,"Sunlight why would you say something like that. THESE PEOPLE DIED FOR CHRIST SAKE!","4/15/18"
"733",733,733,"Alexei Cogan",0,"No, I won't shut the fuck up just because you're unable to grasp reality.
You're a brainless fairy-tale-loving puppet, nothing else.  
And that's your fault:  not mine or anyone else's.","4/5/18"
"734",734,734,"Hinata Hyuga",0,"Alexei Cogan Maybe you shut the fuck up because she didn't do anything to your fucking feelings, How bout that? She does feel bad to those 17 people that died, And now those 17 people who died are in a better place now, and you not in the better place, Because United States of America is kinda a dangerous place because their's murder,Stealers,Shooters, and some kidnappers and some strangers that can kill you. And those people who are crying miss their child's, Now those 17 parents from those 17 students don't have kids but those 17 students may have sisters and brothers. So make me a favor stfu. You are dismissed.","4/4/18"
"735",735,735,"BUNNY BOO x Xx",0,"Unwanted Wombat 
O","4/2/18"
"736",736,736,"Micah Zephaniah",0,"Shelsea Moen yes I wish there was no war","4/2/18"
"737",737,737,"weeb cunt",0,"Spoken English","4/18/18"
"738",738,738,"Flaming Beast",0,"God bless your grammar","4/11/18"
"739",739,739,"Ashley C",0,"HammerschlÌâåÕ_gen M this is a video about an attack that killed 17 people and you ar knitpicking at spelling and grammar","4/7/18"
"740",740,740,"c0lor1zed",0,"Kill Yourself well people have different beliefs and you should atleast respect that","4/5/18"
"741",741,741,"Glacier L9l",0,"Soar I know how they feel I got paralyzed in my left arm in a school shooting in sparks middle school it was horrifying turns out the plan was fascinated by columbine my cousin went to columbine but missed that day when the shooting happen so he was lucky but not me I recovered but still have a scar also I have bad grammar I'm in high school now hopping this doesn't happen to me again","4/21/18"
"742",742,742,"Colin Hallett",0,"Soar If i was bullied like he Was, and I was the whole 4 years in my high school, I would drag those fuckers to hell with me for thinking it's funny and cool to pick on the weak, well look who's weak now motherfucker, you won't be bullying no one when you got a gun to your face _Ìâåª___ÌâåªÌâåÓÌÄå¢
And to hell with y'all that think that medication or therapy would help because it wouldn't, it won't stop those idiots from bullying","4/19/18"
"743",743,743,"pump gang",0,"Rest in pieces lmao _ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå__ÌâåªÌâåÉÌÄå_","4/11/18"
"744",744,744,"Animalz IOS",0,"Nicolle Griffin FBI is shit.their trying to help the world? Think again,FBI made these crimes.like Michael Jackson death,illuminati did it but fbj was behind it,every come in the world was the FBI.","4/10/18"
"745",745,745,"TheFireFlowerGamer 21",0,"Tae's Guxxi It was so evil but brilliant at the same time.","4/10/18"
"746",746,746,"Animalz IOS",0,"sÌâåöÌâåâÌâåÒÌâåöÌâåâÌÄåÏÌâåöÌâåâÌâåÊÌâåöÌâåâ_ÌâåÛÌÄå©ÌâåöÌâåâÌâå FBI was behind it .","4/10/18"
"747",747,747,"German Empire",0,"sÌâåöÌâåâÌâåÒÌâåöÌâåâÌÄåÏÌâåöÌâåâÌâåÊÌâåöÌâåâ_ÌâåÛÌÄå©ÌâåöÌâåâÌâå Every weapon is lethal and designed to kill, you are telling me you arenÌâå_ÌâåÑÌÄåöt okay with someone being shot with and AR but you are okay with someone being shot with a shotgun which causes more damage?, Virginia Tech was done with two semi automatic pistols and the body count was unfortunately bigger. Besides most gun murder in the US is done with handguns rather than rifles","4/1/18"
"748",748,748,"The National Autistic Society",0,"Isaac White y","4/9/18"
"749",749,749,"Isaac White",0,"I'm a completely sane person. Unlike you, you're willing to help a man who murdered 17 people. If anything, you need mental help.","4/8/18"
"750",750,750,"The National Autistic Society",0,"TheStormedBandit Gggg","4/7/18"
"751",751,751,"The National Autistic Society",0,"TheStormedBandit _ÌâåªÌÄåöÌâå","4/7/18"
"752",752,752,"lateralus",0,"ThoMoto 
>We Detest War
>Thousands of wars have been fought by europeans against Europeans and other races 
Sure you do, europoor.","4/20/18"
"753",753,753,"Animalz IOS",0,"Jaquzzi Studios FBI is behind it.and I was in the class that said oh shit, and 12% of my friends are dead _ÌâåªÌâåÉ__ÌâåªÌâåÉ__ÌâåªÌâåÉ_","4/10/18"
"754",754,754,"Charlie Castillo II",0,"Dude, this is something serious. This is not about video games, this is  about the experience of school shootings.
What if the gunman comes in? What would you do?","4/22/18"
"755",755,755,"CrashedMac Productions",1,"who screamed","4/20/18"
"756",756,756,"CrashedMac Productions",1,"1 like=one love for that girl","4/20/18"
"757",757,757,"weeb cunt",0,"Gods plan","4/18/18"
"758",758,758,"Lord of Cinder",0,"Miselain I don't like when people panic. Makes me wanna punch them","4/14/18"
"759",759,759,"Colin Hallett",0,"Bork Freakin Laser shut up minority, you say it like we are all the same","4/19/18"
"760",760,760,"TheFireFlowerGamer 21",0,"GloWz I love it how America blames inanimate objects for stuff like this.","4/10/18"
"761",761,761,"RazerFlash",0,"theKFCbandit it's not always white people maybe *american whites *","4/2/18"
"762",762,762,"whoareyou",0,"erulko We need things other than thoughts and prayers.","4/21/18"
"763",763,763,"Zersix",1,"Nah, CGI m8. It's 2018, I mean cmn...","4/2/18"
"764",764,764,"Isaac White",0,"It's not the NRA's fault, it's the gunmans fault. Think about this, if you want only police to have guns to protect, that's also like saying you want all fire extinguishers to be removed and to have only firefighters use tools related to it. That'd get us killed.  Why do you think all those kids at Sandy Hook got killed? Because they had to sit there and wait for police to arrive. I don't know why there's people like you that want the government to have complete control over everything. Take charge of things in your life, because youre causing a whole lot of stress on those who have to deal with your problems AND their own.","4/4/18"
"765",765,765,"Marco Lopez",0,"Poster boy for alt right","4/22/18"
"766",766,766,"DT Squad",0,"I like how the nicer school districts don't got security really come to my school they got 2 cops armed then there's a k9 unit 3 days a week with 5 plus regular security guards go to a nice school maybe 1 unarmed security guard no metal detectors no bag checks nothing its just crazy","4/22/18"
"767",767,767,"BQNG",0,"Thank god i dont live in fucking america.
Where i live we rarely have school shootings maybe like every few years.
In america its just another tuesday lol.","4/22/18"
"768",768,768,"bill grant",1,"He should have taken the orange tip off the pistol. HaHa.","4/22/18"
"769",769,769,"Johel Pereira",0,"US is fucked up","4/22/18"
"770",770,770,"Eric Chae Lee",0,"The girl is a lesbian Nazi","4/22/18"
"771",771,771,"Dlp Porter",0,"Yes stop the violence","4/21/18"
"772",772,772,"Charis Ralph",0,"WHY WOULD YOU DO THIS CRUZ I THOUGHT PEOPLE KNEW YOU AS A NICE PERSON NOW THEY KNOW YOU AS A MONSTER KILLER","4/21/18"
